cpi,curs,month
100.31,56.4981,20180101
100.21,56.80670526,20180201
100.29,57.06360476,20180301
100.38,60.76989048,20180401
100.38,62.2309,20180501
100.49,62.76850476,20180601
100.27,62.86194762,20180701
100.01,66.0764087,20180801
100.16,67.66609524,20180901
100.35,65.85452727,20181001
100.5,66.35568095,20181101
100.84,67.33531364,20181201
101.01,66.51254375,20190101
100.44,65.810525,20190201
100.32,65.09225714,20190301
100.29,64.60310476,20190401
100.34,64.81870556,20190501
100.04,64.16905,20190601
100.2,63.22268182,20190701
99.76,65.58748261,20190801
99.84,64.958705,20190901
100.13,64.3749913,20191001
100.28,63.86711905,20191101
100.36,62.9325381,20191201
100.4,61.81214706,20200101
100.33,63.97975,20200201
100.55,73.71944211,20200301
100.83,74.76353333,20200401
100.27,72.50029444,20200501
100.22,69.196715,20200601
100.35,71.29407391,20200701
99.96,73.79810952,20200801
99.93,75.72798636,20200901
100.43,77.66354783,20201001
100.71,76.83946842,20201101
100.83,74.21670435,20201201
100.67,74.392475,20210101
100.78,74.31681579,20210201
100.66,74.39713333,20210301
100.58,76.14393182,20210401
100.74,74.00427368,20210501
100.69,72.61685714,20210601
100.31,73.8898913,20210701
100.17,73.58273333,20210801
100.6,72.92621818,20210901
101.11,71.45009091,20211001
100.96,72.69891053,20211101
100.82,73.76931304,20211201
100.99,76.59474667,20220101
101.17,77.16937368,20220201
107.61,103.4700455,20220301
101.56,77.89918636,20220401
100.12,63.31274118,20220501
99.65,57.17855714,20220601
99.61,58.2214,20220701
99.48,60.39191818,20220801
100.05,59.8215,20220901
100.18,61.11584286,20221001
100.37,60.85299524,20221101
100.78,65.81498696,20221201
100.84,68.875975,20230101
100.46,72.78275,20230201
100.37,76.10358636,20230301
